Date,Supply,Issuance Rate
9/18/2019,"107,798,719",5%
9/19/2019,"107,812,132",5%
9/20/2019,"107,825,791",5%
9/21/2019,"107,839,358",5%
9/22/2019,"107,852,824",5%
9/23/2019,"107,866,496",5%
9/24/2019,"107,879,823",5%
9/25/2019,"107,893,419",5%
9/26/2019,"107,906,900",5%
9/27/2019,"107,920,299",5%
9/28/2019,"107,933,830",5%
9/29/2019,"107,947,405",5%
9/30/2019,"107,960,851",5%
10/01/2019,"107,974,422",5%
10/02/2019,"107,987,790",5%
10/03/2019,"108,001,278",5%
10/04/2019,"108,014,805",5%
10/05/2019,"108,028,353",5%
10/06/2019,"108,041,933",5%
10/07/2019,"108,055,328",5%
10/08/2019,"108,068,693",5%
10/09/2019,"108,082,117",5%
10/10/2019,"108,095,486",5%
10/11/2019,"108,108,910",5%
10/12/2019,"108,122,223",5%
10/13/2019,"108,135,653",5%
10/14/2019,"108,149,065",5%
10/15/2019,"108,162,656",5%
10/16/2019,"108,175,994",5%
10/17/2019,"108,189,297",5%
10/18/2019,"108,202,607",5%
10/19/2019,"108,215,942",5%
10/20/2019,"108,229,320",5%
10/21/2019,"108,242,519",5%
10/22/2019,"108,255,965",5%
10/23/2019,"108,269,385",5%
10/24/2019,"108,282,587",5%
10/25/2019,"108,295,510",5%
10/26/2019,"108,308,702",5%
10/27/2019,"108,321,631",5%
10/28/2019,"108,334,779",5%
10/29/2019,"108,347,879",5%
10/30/2019,"108,361,063",5%
10/31/2019,"108,374,180",5%
11/01/2019,"108,387,415",5%
11/02/2019,"108,400,448",5%
11/03/2019,"108,413,611",5%
11/04/2019,"108,426,651",5%
11/05/2019,"108,439,779",5%
11/06/2019,"108,452,866",5%
11/07/2019,"108,465,897",5%
11/08/2019,"108,478,952",5%
11/09/2019,"108,491,833",5%
11/10/2019,"108,504,461",5%
11/11/2019,"108,517,096",5%
11/12/2019,"108,529,802",5%
11/13/2019,"108,542,477",5%
11/14/2019,"108,555,125",5%
11/15/2019,"108,567,736",4%
11/16/2019,"108,580,352",4%
11/17/2019,"108,593,048",4%
11/18/2019,"108,605,634",4%
11/19/2019,"108,618,086",4%
11/20/2019,"108,630,715",4%
11/21/2019,"108,643,485",4%
11/22/2019,"108,656,023",4%
11/23/2019,"108,668,705",4%
11/24/2019,"108,681,329",4%
11/25/2019,"108,693,755",4%
11/26/2019,"108,705,570",4%
11/27/2019,"108,717,454",4%
11/28/2019,"108,729,230",4%
11/29/2019,"108,740,987",4%
11/30/2019,"108,752,925",4%
12/01/2019,"108,764,610",4%
12/02/2019,"108,776,493",4%
12/03/2019,"108,788,347",4%
12/04/2019,"108,800,067",4%
12/05/2019,"108,811,855",4%
12/06/2019,"108,823,635",4%
12/07/2019,"108,835,468",4%
12/08/2019,"108,847,159",4%
12/09/2019,"108,858,962",4%
12/10/2019,"108,870,926",4%
12/11/2019,"108,882,604",4%
12/12/2019,"108,894,521",4%
12/13/2019,"108,905,946",4%
12/14/2019,"108,916,562",4%
12/15/2019,"108,927,241",4%
12/16/2019,"108,937,835",4%
12/17/2019,"108,948,352",4%
12/18/2019,"108,958,768",4%
12/19/2019,"108,969,181",4%
12/20/2019,"108,979,526",4%
12/21/2019,"108,990,041",4%
12/22/2019,"109,000,380",4%
12/23/2019,"109,010,728",4%
12/24/2019,"109,021,214",4%
12/25/2019,"109,031,543",4%
12/26/2019,"109,041,904",4%
12/27/2019,"109,052,330",4%
12/28/2019,"109,062,824",4%
12/29/2019,"109,073,225",4%
12/30/2019,"109,083,649",4%
12/31/2019,"109,094,019",4%
01/01/2020,"109,104,324",4%
01/02/2020,"109,116,180",4%
01/03/2020,"109,129,833",4%
01/04/2020,"109,143,558",4%
01/05/2020,"109,157,084",4%
01/06/2020,"109,170,880",4%
01/07/2020,"109,184,496",4%
01/08/2020,"109,198,105",4%
01/09/2020,"109,211,718",4%
01/10/2020,"109,225,396",4%
01/11/2020,"109,239,040",4%
01/12/2020,"109,252,692",4%
1/13/2020,"109,266,320",4%
1/14/2020,"109,279,966",4%
1/15/2020,"109,293,534",4%
1/16/2020,"109,307,148",4%
1/17/2020,"109,320,911",4%
1/18/2020,"109,334,507",4%
1/19/2020,"109,348,256",4%
1/20/2020,"109,361,840",4%
1/21/2020,"109,375,553",4%
1/22/2020,"109,389,066",4%
1/23/2020,"109,402,832",4%
1/24/2020,"109,416,409",4%
1/25/2020,"109,430,004",4%
1/26/2020,"109,443,572",4%
1/27/2020,"109,457,250",4%
1/28/2020,"109,470,815",5%
1/29/2020,"109,484,503",5%
1/30/2020,"109,498,010",5%
1/31/2020,"109,511,661",5%
02/01/2020,"109,525,187",5%
02/02/2020,"109,538,830",5%
02/03/2020,"109,552,495",5%
02/04/2020,"109,566,282",5%
02/05/2020,"109,579,852",5%
02/06/2020,"109,593,538",5%
02/07/2020,"109,607,228",5%
02/08/2020,"109,620,817",5%
02/09/2020,"109,634,384",5%
02/10/2020,"109,648,115",5%
02/11/2020,"109,661,784",5%
02/12/2020,"109,675,403",5%
2/13/2020,"109,689,032",5%
2/14/2020,"109,702,746",5%
2/15/2020,"109,716,356",5%
2/16/2020,"109,730,082",5%
2/17/2020,"109,743,664",5%
2/18/2020,"109,757,283",5%
2/19/2020,"109,771,083",5%
2/20/2020,"109,784,663",5%
2/21/2020,"109,798,227",5%
2/22/2020,"109,811,899",5%
2/23/2020,"109,825,541",5%
2/24/2020,"109,839,075",5%
2/25/2020,"109,852,602",5%
2/26/2020,"109,866,297",5%
2/27/2020,"109,879,922",5%
2/28/2020,"109,893,557",5%
2/29/2020,"109,907,160",5%
03/01/2020,"109,920,720",5%
03/02/2020,"109,934,374",5%
03/03/2020,"109,948,061",5%
03/04/2020,"109,961,784",5%
03/05/2020,"109,975,210",5%
03/06/2020,"109,988,958",5%
03/07/2020,"110,002,636",5%
03/08/2020,"110,016,360",5%
03/09/2020,"110,029,876",5%
03/10/2020,"110,043,534",5%
03/11/2020,"110,057,215",5%
03/12/2020,"110,070,846",5%
3/13/2020,"110,084,267",5%
3/14/2020,"110,097,877",5%
3/15/2020,"110,111,541",5%
3/16/2020,"110,125,145",5%
3/17/2020,"110,138,807",5%
3/18/2020,"110,152,514",5%
3/19/2020,"110,166,198",5%
3/20/2020,"110,179,808",5%
3/21/2020,"110,193,595",5%
3/22/2020,"110,207,104",5%
3/23/2020,"110,220,934",5%
3/24/2020,"110,234,522",5%
3/25/2020,"110,248,183",5%
3/26/2020,"110,261,799",5%
3/27/2020,"110,275,538",5%
3/28/2020,"110,289,125",5%
3/29/2020,"110,302,888",5%
3/30/2020,"110,316,447",5%
3/31/2020,"110,330,034",5%
04/01/2020,"110,343,778",5%
04/02/2020,"110,357,381",5%
04/03/2020,"110,371,025",5%
04/04/2020,"110,384,589",5%
04/05/2020,"110,398,180",5%
04/06/2020,"110,411,703",5%
04/07/2020,"110,425,481",5%
04/08/2020,"110,439,103",5%
04/09/2020,"110,452,724",5%
04/10/2020,"110,466,429",5%
04/11/2020,"110,479,915",5%
04/12/2020,"110,493,656",5%
4/13/2020,"110,507,347",5%
4/14/2020,"110,520,950",5%
4/15/2020,"110,534,624",5%
4/16/2020,"110,548,259",5%
4/17/2020,"110,561,812",5%
4/18/2020,"110,575,364",5%
4/19/2020,"110,589,018",5%
4/20/2020,"110,602,694",5%
4/21/2020,"110,616,273",5%
4/22/2020,"110,629,997",5%
4/23/2020,"110,643,641",5%
4/24/2020,"110,657,265",5%
4/25/2020,"110,670,863",5%
4/26/2020,"110,684,472",5%
4/27/2020,"110,698,100",5%
4/28/2020,"110,711,676",5%
4/29/2020,"110,725,424",5%
4/30/2020,"110,739,062",5%
05/01/2020,"110,752,857",5%
05/02/2020,"110,766,500",5%
05/03/2020,"110,780,066",5%
05/04/2020,"110,793,795",5%
05/05/2020,"110,807,415",5%
05/06/2020,"110,820,867",5%
05/07/2020,"110,834,503",5%
05/08/2020,"110,848,254",5%
05/09/2020,"110,861,780",5%
05/10/2020,"110,875,505",5%
05/11/2020,"110,889,126",5%
05/12/2020,"110,902,703",5%
5/13/2020,"110,916,384",5%
5/14/2020,"110,930,077",5%
5/15/2020,"110,943,666",5%
5/16/2020,"110,957,203",5%
5/17/2020,"110,970,888",5%
5/18/2020,"110,984,426",5%
5/19/2020,"110,997,945",5%
5/20/2020,"111,011,573",5%
5/21/2020,"111,025,208",5%
5/22/2020,"111,038,697",5%
5/23/2020,"111,052,509",5%
5/24/2020,"111,066,068",5%
5/25/2020,"111,079,538",5%
5/26/2020,"111,093,215",5%
5/27/2020,"111,106,821",5%
5/28/2020,"111,120,342",5%
5/29/2020,"111,133,945",5%
5/30/2020,"111,147,578",5%
5/31/2020,"111,161,262",5%
06/01/2020,"111,174,837",5%
06/02/2020,"111,188,538",5%
06/03/2020,"111,202,070",5%
06/04/2020,"111,215,611",5%
06/05/2020,"111,229,346",5%
06/06/2020,"111,242,939",5%
06/07/2020,"111,256,581",5%
06/08/2020,"111,270,141",5%
06/09/2020,"111,283,853",5%
06/10/2020,"111,297,307",5%
06/11/2020,"111,310,910",5%
06/12/2020,"111,324,605",5%
6/13/2020,"111,338,249",5%
6/14/2020,"111,351,918",5%
6/15/2020,"111,365,544",5%
6/16/2020,"111,379,080",5%
6/17/2020,"111,392,576",5%
6/18/2020,"111,406,197",5%
6/19/2020,"111,419,918",5%
6/20/2020,"111,433,547",5%
6/21/2020,"111,447,225",5%
6/22/2020,"111,460,811",5%
6/23/2020,"111,474,457",5%
6/24/2020,"111,488,136",5%
6/25/2020,"111,501,753",5%
6/26/2020,"111,515,355",5%
6/27/2020,"111,528,805",5%
6/28/2020,"111,542,546",5%
6/29/2020,"111,556,089",5%
6/30/2020,"111,569,801",5%
07/01/2020,"111,583,364",5%
07/02/2020,"111,596,930",5%
07/03/2020,"111,610,596",5%
07/04/2020,"111,624,131",5%
07/05/2020,"111,637,744",5%
07/06/2020,"111,651,367",5%
07/07/2020,"111,665,059",5%
07/08/2020,"111,678,752",5%
07/09/2020,"111,692,367",5%
07/10/2020,"111,705,862",5%
07/11/2020,"111,719,612",5%
07/12/2020,"111,733,283",5%
7/13/2020,"111,746,955",5%
7/14/2020,"111,760,503",5%
7/15/2020,"111,774,152",5%
7/16/2020,"111,787,662",5%
7/17/2020,"111,801,209",5%
7/18/2020,"111,814,951",5%
7/19/2020,"111,828,503",5%
7/20/2020,"111,842,107",5%
7/21/2020,"111,855,661",5%
7/22/2020,"111,869,240",5%
7/23/2020,"111,883,007",5%
7/24/2020,"111,896,681",5%
7/25/2020,"111,910,095",5%
7/26/2020,"111,923,791",5%
7/27/2020,"111,937,380",5%
7/28/2020,"111,951,044",5%
7/29/2020,"111,964,683",5%
7/30/2020,"111,978,164",5%
7/31/2020,"111,991,817",5%
08/01/2020,"112,005,524",5%
08/02/2020,"112,019,181",5%
08/03/2020,"112,032,851",5%
08/04/2020,"112,046,396",5%
08/05/2020,"112,059,969",5%
08/06/2020,"112,073,729",5%
08/07/2020,"112,087,359",5%
08/08/2020,"112,100,917",5%
08/09/2020,"112,114,588",5%
08/10/2020,"112,128,192",5%
08/11/2020,"112,141,813",5%
08/12/2020,"112,155,521",5%
8/13/2020,"112,169,114",5%
8/14/2020,"112,182,762",5%
8/15/2020,"112,196,347",5%
8/16/2020,"112,209,962",5%
8/17/2020,"112,223,373",5%
8/18/2020,"112,237,123",5%
8/19/2020,"112,250,787",5%
8/20/2020,"112,264,432",5%
8/21/2020,"112,278,026",5%
8/22/2020,"112,291,524",5%
8/23/2020,"112,305,269",5%
8/24/2020,"112,318,846",5%
8/25/2020,"112,332,300",5%
8/26/2020,"112,346,054",5%
8/27/2020,"112,359,619",5%
8/28/2020,"112,373,248",5%
8/29/2020,"112,386,865",5%
8/30/2020,"112,400,519",5%
8/31/2020,"112,414,306",5%
09/01/2020,"112,427,917",5%
09/02/2020,"112,441,491",5%
09/03/2020,"112,455,002",5%
09/04/2020,"112,468,864",5%
09/05/2020,"112,482,458",5%
09/06/2020,"112,496,264",5%
09/07/2020,"112,509,770",5%
09/08/2020,"112,523,384",5%
09/09/2020,"112,536,930",5%
09/10/2020,"112,550,549",5%
09/11/2020,"112,564,222",5%
09/12/2020,"112,577,782",5%
9/13/2020,"112,591,406",5%
9/14/2020,"112,604,909",5%
9/15/2020,"112,618,523",5%
9/16/2020,"112,631,980",5%
9/17/2020,"112,645,760",5%
9/18/2020,"112,659,211",5%
9/19/2020,"112,672,831",5%
9/20/2020,"112,686,549",5%
9/21/2020,"112,700,272",5%
9/22/2020,"112,713,723",5%
9/23/2020,"112,727,376",5%
9/24/2020,"112,740,967",5%
9/25/2020,"112,754,444",5%
9/26/2020,"112,767,859",5%
9/27/2020,"112,781,110",5%
9/28/2020,"112,794,417",5%
9/29/2020,"112,807,683",4%
9/30/2020,"112,820,994",4%
10/01/2020,"112,834,308",4%
10/02/2020,"112,847,592",4%
10/03/2020,"112,860,905",4%
10/04/2020,"112,874,170",4%
10/05/2020,"112,887,597",4%
10/06/2020,"112,901,025",4%
10/07/2020,"112,914,210",4%
10/08/2020,"112,927,431",4%
10/09/2020,"112,940,773",4%
10/10/2020,"112,954,293",4%
10/11/2020,"112,967,963",4%
10/12/2020,"112,981,469",4%
10/13/2020,"112,995,209",4%
10/14/2020,"113,008,818",4%
10/15/2020,"113,022,460",4%
10/16/2020,"113,035,952",4%
10/17/2020,"113,049,541",4%
10/18/2020,"113,062,923",4%
10/19/2020,"113,076,704",4%
10/20/2020,"113,090,255",4%
10/21/2020,"113,103,788",4%
10/22/2020,"113,117,406",4%
10/23/2020,"113,130,865",4%
10/24/2020,"113,144,555",4%
10/25/2020,"113,158,005",4%
10/26/2020,"113,171,475",4%
10/27/2020,"113,185,096",4%
10/28/2020,"113,198,742",4%
10/29/2020,"113,212,355",4%
10/30/2020,"113,225,824",4%
10/31/2020,"113,239,379",4%
11/01/2020,"113,252,958",4%
11/02/2020,"113,266,402",4%
11/03/2020,"113,279,956",4%
11/04/2020,"113,293,479",4%
11/05/2020,"113,307,042",4%
11/06/2020,"113,320,658",4%
11/07/2020,"113,334,180",4%
11/08/2020,"113,347,748",4%
11/09/2020,"113,361,260",4%
11/10/2020,"113,374,708",4%
11/11/2020,"113,388,262",4%
11/12/2020,"113,401,790",4%
11/13/2020,"113,415,369",4%
11/14/2020,"113,428,965",4%
11/15/2020,"113,442,564",4%
11/16/2020,"113,456,038",4%
11/17/2020,"113,469,614",4%
11/18/2020,"113,483,023",4%
11/19/2020,"113,496,771",4%
11/20/2020,"113,510,219",4%
11/21/2020,"113,523,885",4%
11/22/2020,"113,537,419",4%
11/23/2020,"113,550,891",4%
11/24/2020,"113,564,574",4%
11/25/2020,"113,578,080",4%
11/26/2020,"113,591,633",4%
11/27/2020,"113,604,980",4%
11/28/2020,"113,618,691",4%
11/29/2020,"113,632,239",4%
11/30/2020,"113,645,918",4%
12/01/2020,"113,659,642",4%
12/02/2020,"113,673,373",4%
12/03/2020,"113,687,343",4%
12/04/2020,"113,701,155",4%
12/05/2020,"113,715,056",4%
12/06/2020,"113,729,076",4%
12/07/2020,"113,742,890",4%
12/08/2020,"113,756,772",4%
12/09/2020,"113,770,889",4%
12/10/2020,"113,784,625",4%
12/11/2020,"113,798,562",4%
12/12/2020,"113,812,517",4%
12/13/2020,"113,826,379",4%
12/14/2020,"113,840,407",5%
12/15/2020,"113,854,329",5%
12/16/2020,"113,868,383",5%
12/17/2020,"113,882,438",5%
12/18/2020,"113,896,381",5%
12/19/2020,"113,910,388",5%
12/20/2020,"113,924,481",5%
12/21/2020,"113,938,480",5%
12/22/2020,"113,952,448",5%
12/23/2020,"113,966,656",5%
12/24/2020,"113,980,534",5%
12/25/2020,"113,994,448",5%
12/26/2020,"114,008,689",5%
12/27/2020,"114,022,708",5%
12/28/2020,"114,036,887",5%
12/29/2020,"114,050,717",5%
12/30/2020,"114,064,815",5%
12/31/2020,"114,078,849",5%
01/01/2021,"114,092,931",5%
01/02/2021,"114,107,153",5%
01/03/2021,"114,121,190",5%
01/04/2021,"114,135,245",5%
01/05/2021,"114,149,409",5%
01/06/2021,"114,163,495",5%
01/07/2021,"114,177,429",5%
01/08/2021,"114,191,655",5%
01/09/2021,"114,205,677",5%
01/10/2021,"114,219,818",5%
01/11/2021,"114,233,984",5%
01/12/2021,"114,248,183",5%
1/13/2021,"114,262,409",5%
1/14/2021,"114,276,365",5%
1/15/2021,"114,290,617",5%
1/16/2021,"114,304,745",5%
1/17/2021,"114,318,859",5%
1/18/2021,"114,333,022",5%
1/19/2021,"114,347,214",5%
1/20/2021,"114,361,450",5%
1/21/2021,"114,375,540",5%
1/22/2021,"114,389,673",5%
1/23/2021,"114,403,882",5%
1/24/2021,"114,418,037",5%
1/25/2021,"114,432,241",5%
1/26/2021,"114,446,466",5%
1/27/2021,"114,460,516",5%
1/28/2021,"114,474,732",5%
1/29/2021,"114,488,813",5%
1/30/2021,"114,502,787",5%
1/31/2021,"114,517,199",5%
02/01/2021,"114,531,395",5%
02/02/2021,"114,545,605",5%
02/03/2021,"114,559,794",5%
02/04/2021,"114,574,086",5%
02/05/2021,"114,588,193",5%
02/06/2021,"114,602,405",5%
02/07/2021,"114,616,751",5%
02/08/2021,"114,630,911",5%
02/09/2021,"114,645,118",5%
02/10/2021,"114,659,414",5%
02/11/2021,"114,673,669",5%
02/12/2021,"114,687,963",5%
2/13/2021,"114,702,070",5%
2/14/2021,"114,716,428",5%
2/15/2021,"114,730,660",5%
2/16/2021,"114,744,855",5%
2/17/2021,"114,759,198",5%
2/18/2021,"114,773,383",5%
2/19/2021,"114,787,822",5%
2/20/2021,"114,802,084",5%
2/21/2021,"114,816,364",5%
2/22/2021,"114,830,627",5%
2/23/2021,"114,844,958",5%
2/24/2021,"114,859,199",5%
2/25/2021,"114,873,508",5%
2/26/2021,"114,887,889",5%
2/27/2021,"114,902,184",5%
2/28/2021,"114,916,433",5%
03/01/2021,"114,930,693",5%
03/02/2021,"114,945,135",5%
03/03/2021,"114,959,292",5%
03/04/2021,"114,973,695",5%
03/05/2021,"114,988,067",5%
03/06/2021,"115,002,514",5%
03/07/2021,"115,016,801",5%
03/08/2021,"115,031,155",5%
03/09/2021,"115,045,424",5%
03/10/2021,"115,059,295",5%
03/11/2021,"115,073,964",5%
03/12/2021,"115,088,293",5%
3/13/2021,"115,102,683",5%
3/14/2021,"115,117,155",5%
3/15/2021,"115,131,412",5%
3/16/2021,"115,145,796",5%
3/17/2021,"115,160,158",5%
3/18/2021,"115,174,516",5%
3/19/2021,"115,188,869",5%
3/20/2021,"115,203,288",5%
3/21/2021,"115,217,483",5%
3/22/2021,"115,231,822",5%
3/23/2021,"115,246,203",5%
3/24/2021,"115,260,552",5%
3/25/2021,"115,274,931",5%
3/26/2021,"115,289,358",5%
3/27/2021,"115,303,690",5%
3/28/2021,"115,318,038",5%
3/29/2021,"115,332,445",5%
3/30/2021,"115,346,862",5%
3/31/2021,"115,361,136",5%
04/01/2021,"115,375,499",5%
04/02/2021,"115,389,765",5%
04/03/2021,"115,404,187",5%
04/04/2021,"115,418,670",5%
04/05/2021,"115,433,045",5%
04/06/2021,"115,447,393",5%
04/07/2021,"115,461,550",5%
04/08/2021,"115,475,862",5%
04/09/2021,"115,490,094",5%
04/10/2021,"115,504,565",5%
04/11/2021,"115,518,998",5%
04/12/2021,"115,533,414",5%
4/13/2021,"115,547,746",5%
4/14/2021,"115,562,046",5%
4/15/2021,"115,576,385",5%
4/16/2021,"115,590,637",5%
4/17/2021,"115,604,951",5%
4/18/2021,"115,619,357",5%
4/19/2021,"115,633,543",5%
4/20/2021,"115,648,117",5%
4/21/2021,"115,662,572",5%
4/22/2021,"115,676,847",5%
4/23/2021,"115,691,181",5%
4/24/2021,"115,705,589",5%
4/25/2021,"115,719,995",5%
4/26/2021,"115,734,365",5%
4/27/2021,"115,748,725",5%
4/28/2021,"115,763,156",5%
4/29/2021,"115,777,518",5%
4/30/2021,"115,791,817",5%
05/01/2021,"115,806,260",5%
05/02/2021,"115,820,588",5%
05/03/2021,"115,835,036",5%
05/04/2021,"115,849,463",5%
05/05/2021,"115,863,942",5%
05/06/2021,"115,878,312",5%
05/07/2021,"115,892,659",5%
05/08/2021,"115,907,047",5%
05/09/2021,"115,921,411",5%
05/10/2021,"115,935,925",5%
05/11/2021,"115,950,310",5%
05/12/2021,"115,964,677",5%
5/13/2021,"115,979,265",5%
5/14/2021,"115,993,673",5%
5/15/2021,"116,008,142",5%
5/16/2021,"116,022,545",5%
5/17/2021,"116,036,912",5%
5/18/2021,"116,051,358",5%
5/19/2021,"116,065,760",5%
5/20/2021,"116,080,255",5%
5/21/2021,"116,094,593",5%
5/22/2021,"116,109,058",5%
5/23/2021,"116,123,472",5%
5/24/2021,"116,137,941",5%
5/25/2021,"116,152,219",5%
5/26/2021,"116,166,575",5%
5/27/2021,"116,180,925",5%
5/28/2021,"116,195,391",5%
5/29/2021,"116,209,896",5%
5/30/2021,"116,224,313",5%
5/31/2021,"116,238,688",5%
06/01/2021,"116,253,128",5%
06/02/2021,"116,267,678",5%
06/03/2021,"116,282,038",5%
06/04/2021,"116,296,615",5%
06/05/2021,"116,310,949",5%
06/06/2021,"116,325,538",5%
06/07/2021,"116,339,928",5%
06/08/2021,"116,354,401",5%
06/09/2021,"116,368,813",5%
06/10/2021,"116,383,187",5%
06/11/2021,"116,397,643",5%
06/12/2021,"116,412,046",5%
6/13/2021,"116,426,492",5%
6/14/2021,"116,441,011",5%
6/15/2021,"116,455,604",5%
6/16/2021,"116,469,954",5%
6/17/2021,"116,484,478",5%
6/18/2021,"116,498,809",5%
6/19/2021,"116,513,291",5%
6/20/2021,"116,527,777",5%
6/21/2021,"116,542,017",5%
6/22/2021,"116,556,548",5%
6/23/2021,"116,571,007",5%
6/24/2021,"116,585,386",5%
6/25/2021,"116,599,592",5%
6/26/2021,"116,614,064",5%
6/27/2021,"116,628,557",5%
6/28/2021,"116,643,126",5%
6/29/2021,"116,657,540",5%
6/30/2021,"116,672,066",5%
07/01/2021,"116,686,374",5%
07/02/2021,"116,700,872",5%
07/03/2021,"116,715,279",5%
07/04/2021,"116,729,803",5%
07/05/2021,"116,744,298",5%
07/06/2021,"116,758,833",5%
07/07/2021,"116,773,279",5%
07/08/2021,"116,787,818",5%
07/09/2021,"116,802,236",5%
07/10/2021,"116,816,779",5%
07/11/2021,"116,831,214",5%
07/12/2021,"116,845,562",5%
7/13/2021,"116,859,844",5%
7/14/2021,"116,874,302",5%
7/15/2021,"116,888,832",5%
7/16/2021,"116,903,193",5%
7/17/2021,"116,917,518",5%
7/18/2021,"116,931,939",5%
7/19/2021,"116,946,371",5%
7/20/2021,"116,960,707",5%
7/21/2021,"116,975,240",5%
7/22/2021,"116,989,691",5%
7/23/2021,"117,004,037",5%
7/24/2021,"117,018,601",5%
7/25/2021,"117,033,024",5%
7/26/2021,"117,047,354",5%
7/27/2021,"117,061,572",5%
7/28/2021,"117,075,816",5%
7/29/2021,"117,090,134",5%
7/30/2021,"117,104,348",5%
7/31/2021,"117,118,600",5%
08/01/2021,"117,132,823",5%
08/02/2021,"117,147,238",5%
08/03/2021,"117,161,559",5%
08/04/2021,"117,175,868",5%
08/05/2021,"117,187,173",5%
08/06/2021,"117,197,622",5%
08/07/2021,"117,208,116",4%
08/08/2021,"117,218,565",4%
08/09/2021,"117,228,991",4%
08/10/2021,"117,238,353",4%
08/11/2021,"117,247,570",4%
08/12/2021,"117,257,311",4%
8/13/2021,"117,267,188",4%
8/14/2021,"117,277,639",4%
8/15/2021,"117,286,825",4%
8/16/2021,"117,296,725",4%
8/17/2021,"117,307,124",4%
8/18/2021,"117,317,744",4%
8/19/2021,"117,329,049",4%
8/20/2021,"117,340,153",4%
8/21/2021,"117,351,136",4%
8/22/2021,"117,361,720",4%
8/23/2021,"117,372,411",4%
8/24/2021,"117,379,912",4%
8/25/2021,"117,386,167",4%
8/26/2021,"117,392,555",3%
8/27/2021,"117,396,009",3%
8/28/2021,"117,402,853",3%
8/29/2021,"117,409,166",3%
8/30/2021,"117,413,734",3%
8/31/2021,"117,417,454",3%
09/01/2021,"117,420,617",3%
09/02/2021,"117,425,267",3%
09/03/2021,"117,426,098",3%
09/04/2021,"117,430,028",3%
09/05/2021,"117,434,894",2%
09/06/2021,"117,439,075",2%
09/07/2021,"117,439,606",2%
09/08/2021,"117,440,060",2%
09/09/2021,"117,441,470",2%
09/10/2021,"117,447,476",2%
09/11/2021,"117,456,237",2%
09/12/2021,"117,465,259",2%
9/13/2021,"117,472,927",2%
9/14/2021,"117,480,990",2%
9/15/2021,"117,489,461",2%
9/16/2021,"117,496,495",2%
9/17/2021,"117,504,311",2%
9/18/2021,"117,514,039",2%
9/19/2021,"117,523,821",2%
9/20/2021,"117,530,609",2%
9/21/2021,"117,536,224",2%
9/22/2021,"117,544,708",2%
9/23/2021,"117,552,700",2%
9/24/2021,"117,560,793",2%
9/25/2021,"117,571,415",2%
9/26/2021,"117,580,066",2%
9/27/2021,"117,587,109",2%
9/28/2021,"117,593,666",2%
9/29/2021,"117,600,900",2%
9/30/2021,"117,605,183",2%
10/01/2021,"117,612,000",2%
10/02/2021,"117,621,043",2%
10/03/2021,"117,630,089",2%
10/04/2021,"117,635,466",2%
10/05/2021,"117,638,662",2%
10/06/2021,"117,640,060",2%
10/07/2021,"117,641,860",2%
10/08/2021,"117,645,025",2%
10/09/2021,"117,652,385",2%
10/10/2021,"117,659,681",2%
10/11/2021,"117,664,550",2%
10/12/2021,"117,671,109",2%
10/13/2021,"117,676,841",2%
10/14/2021,"117,679,525",2%
10/15/2021,"117,682,347",2%
10/16/2021,"117,689,291",2%
10/17/2021,"117,697,131",2%
10/18/2021,"117,703,103",2%
10/19/2021,"117,711,134",2%
10/20/2021,"117,718,544",2%
10/21/2021,"117,724,696",2%
10/22/2021,"117,731,559",2%
10/23/2021,"117,740,302",2%
10/24/2021,"117,748,343",2%
10/25/2021,"117,754,204",2%
10/26/2021,"117,757,636",2%
10/27/2021,"117,757,328",2%
10/28/2021,"117,755,132",2%
