STORE Issues 1 Billion Tokens by 2030,,,
Date,Current Allocated,Projected Allocated,Total Authorized
Sep - 2027,,"874,421,129","1,000,000,000"
Oct - 2027,,"877,231,962","1,000,000,000"
Nov - 2027,,"880,042,795","1,000,000,000"
Dec - 2027,,"882,853,629","1,000,000,000"
Jan - 2028,,"885,147,379","1,000,000,000"
Feb - 2028,,"887,441,129","1,000,000,000"
Mar - 2028,,"889,734,879","1,000,000,000"
Apr - 2028,,"892,028,629","1,000,000,000"
May - 2028,,"894,322,379","1,000,000,000"
Jun - 2028,,"909,411,906","1,000,000,000"
Jul - 2028,,"911,705,656","1,000,000,000"
Aug - 2028,,"913,999,406","1,000,000,000"
Sep - 2028,,"916,293,156","1,000,000,000"
Oct - 2028,,"918,586,906","1,000,000,000"
Nov - 2028,,"920,880,656","1,000,000,000"
Dec - 2028,,"923,174,406","1,000,000,000"
Jan - 2029,,"925,207,740","1,000,000,000"
Feb - 2029,,"927,241,073","1,000,000,000"
Mar - 2029,,"929,274,406","1,000,000,000"
Apr - 2029,,"931,307,740","1,000,000,000"
May - 2029,,"933,341,073","1,000,000,000"
Jun - 2029,,"948,170,184","1,000,000,000"
Jul - 2029,,"950,203,518","1,000,000,000"
Aug - 2029,,"952,236,851","1,000,000,000"
Sep - 2029,,"954,270,184","1,000,000,000"
Oct - 2029,,"956,303,518","1,000,000,000"
Nov - 2029,,"958,336,851","1,000,000,000"
Dec - 2029,,"960,370,184","1,000,000,000"
Jan - 2030,,"962,429,618","1,000,000,000"
Feb - 2030,,"964,489,052","1,000,000,000"
Mar - 2030,,"966,548,485","1,000,000,000"
Apr - 2030,,"968,607,919","1,000,000,000"
May - 2030,,"970,667,353","1,000,000,000"
Jun - 2030,,"985,522,564","1,000,000,000"
Jul - 2030,,"987,581,998","1,000,000,000"
Aug - 2030,,"989,641,432","1,000,000,000"
Sep - 2030,,"991,700,866","1,000,000,000"
Oct - 2030,,"993,760,299","1,000,000,000"
Nov - 2030,,"995,819,733","1,000,000,000"
Dec - 2030,,"997,879,167","1,000,000,000"
Jan - 2031,,"999,558,334","1,000,000,000"
Feb - 2031,,"1,001,237,500","1,000,000,000"
Mar - 2031,,"1,002,916,667","1,000,000,000"
Apr - 2031,,"1,004,595,834","1,000,000,000"
May - 2031,,"1,006,275,000","1,000,000,000"
Jun - 2031,,"1,007,954,167","1,000,000,000"
